,id,name,followers,genres,popularity,URI,image_url,embed_link
53,15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,41728571,emo rap,86,spotify:artist:15UsOTVnJzReFVN1VCnxy4,https://i.scdn.co/image/ab6761610000e5ebf0c20db5ef6c6fbe5135d2e4,"<iframe style=""border-radius: 12px"" width=""100%"" height=""352"" title=""Spotify Embed: XXXTENTACION"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/artist/15UsOTVnJzReFVN1VCnxy4?utm_source=oembed""></iframe>"
54,5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,25506777,dance pop,86,spotify:artist:5cj0lLjcoR7YOSnhnX0Po5,https://i.scdn.co/image/ab6761610000e5eb727a2ac15afe659be999beba,"<iframe style=""border-radius: 12px"" width=""100%"" height=""352"" title=""Spotify Embed: Doja Cat"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/artist/5cj0lLjcoR7YOSnhnX0Po5?utm_source=oembed""></iframe>"
55,1VPmR4DJC1PlOtd0IADAO0,$uicideboy$,5581240,cloud rap,86,spotify:artist:1VPmR4DJC1PlOtd0IADAO0,https://i.scdn.co/image/ab6761610000e5ebd31eb18195a498e901158709,"<iframe style=""border-radius: 12px"" width=""100%"" height=""352"" title=""Spotify Embed: $uicideboy$"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/artist/1VPmR4DJC1PlOtd0IADAO0?utm_source=oembed""></iframe>"
56,3hcs9uc56yIGFCSy9leWe7,Lil Durk,5628467,chicago drill,86,spotify:artist:3hcs9uc56yIGFCSy9leWe7,https://i.scdn.co/image/ab6761610000e5eba0461c1f2218374aa672ce4e,"<iframe style=""border-radius: 12px"" width=""100%"" height=""352"" title=""Spotify Embed: Lil Durk"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/artist/3hcs9uc56yIGFCSy9leWe7?utm_source=oembed""></iframe>"
57,2wY79sveU1sp5g7SokKOiI,Sam Smith,22614897,pop,85,spotify:artist:2wY79sveU1sp5g7SokKOiI,https://i.scdn.co/image/ab6761610000e5eb10ca40ea0b0b5082dba0ff75,"<iframe style=""border-radius: 12px"" width=""100%"" height=""352"" title=""Spotify Embed: Sam Smith"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/artist/2wY79sveU1sp5g7SokKOiI?utm_source=oembed""></iframe>"
58,7ltDVBr6mKbRvohxheJ9h1,ROSALÍA,7302465,pop,85,spotify:artist:7ltDVBr6mKbRvohxheJ9h1,https://i.scdn.co/image/ab6761610000e5ebd7bb678bef6d2f26110cae49,"<iframe style=""border-radius: 12px"" width=""100%"" height=""352"" title=""Spotify Embed: ROSALÍA"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/artist/7ltDVBr6mKbRvohxheJ9h1?utm_source=oembed""></iframe>"
59,04gDigrS5kc9YWfZHwBETP,Maroon 5,40587194,pop,85,spotify:artist:04gDigrS5kc9YWfZHwBETP,https://i.scdn.co/image/ab6761610000e5ebf8349dfb619a7f842242de77,"<iframe style=""border-radius: 12px"" width=""100%"" height=""352"" title=""Spotify Embed: Maroon 5"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/artist/04gDigrS5kc9YWfZHwBETP?utm_source=oembed""></iframe>"
60,55Aa2cqylxrFIXC767Z865,Lil Wayne,13592427,hip hop,85,spotify:artist:55Aa2cqylxrFIXC767Z865,https://i.scdn.co/image/ab6761610000e5ebc63aded6f4bf4d06d1377106,"<iframe style=""border-radius: 12px"" width=""100%"" height=""352"" title=""Spotify Embed: Lil Wayne"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/artist/55Aa2cqylxrFIXC767Z865?utm_source=oembed""></iframe>"
61,718COspgdWOnwOFpJHRZHS,Luke Combs,8568389,contemporary country,85,spotify:artist:718COspgdWOnwOFpJHRZHS,https://i.scdn.co/image/ab6761610000e5eb5db6179b28f7e3654898b279,"<iframe style=""border-radius: 12px"" width=""100%"" height=""352"" title=""Spotify Embed: Luke Combs"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/artist/718COspgdWOnwOFpJHRZHS?utm_source=oembed""></iframe>"
62,4AK6F7OLvEQ5QYCBNiQWHq,One Direction,31211315,boy band,85,spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8,"<iframe style=""border-radius: 12px"" width=""100%"" height=""352"" title=""Spotify Embed: One Direction"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/artist/4AK6F7OLvEQ5QYCBNiQWHq?utm_source=oembed""></iframe>"
63,1HY2Jd0NmPuamShAr6KMms,Lady Gaga,26587640,art pop,85,spotify:artist:1HY2Jd0NmPuamShAr6KMms,https://i.scdn.co/image/ab6761610000e5ebc8d3d98a1bccbe71393dbfbf,"<iframe style=""border-radius: 12px"" width=""100%"" height=""352"" title=""Spotify Embed: Lady Gaga"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/artist/1HY2Jd0NmPuamShAr6KMms?utm_source=oembed""></iframe>"
64,04gDigrS5kc9YWfZHwBETP,Maroon 5,40587194,pop,85,spotify:artist:04gDigrS5kc9YWfZHwBETP,https://i.scdn.co/image/ab6761610000e5ebf8349dfb619a7f842242de77,"<iframe style=""border-radius: 12px"" width=""100%"" height=""352"" title=""Spotify Embed: Maroon 5"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/artist/04gDigrS5kc9YWfZHwBETP?utm_source=oembed""></iframe>"
65,7wlFDEWiM5OoIAt8RSli8b,YoungBoy Never Broke Again,11126389,baton rouge rap,84,spotify:artist:7wlFDEWiM5OoIAt8RSli8b,https://i.scdn.co/image/ab6761610000e5eba213bd0d2152db1ce9c8da70,"<iframe style=""border-radius: 12px"" width=""100%"" height=""352"" title=""Spotify Embed: YoungBoy Never Broke Again"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/artist/7wlFDEWiM5OoIAt8RSli8b?utm_source=oembed""></iframe>"
66,6jJ0s89eD6GaHleKKya26X,Katy Perry,27187299,pop,84,spotify:artist:6jJ0s89eD6GaHleKKya26X,https://i.scdn.co/image/ab6761610000e5ebdc9dcb7e4a97b4552e1224d6,"<iframe style=""border-radius: 12px"" width=""100%"" height=""352"" title=""Spotify Embed: Katy Perry"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/artist/6jJ0s89eD6GaHleKKya26X?utm_source=oembed""></iframe>"
67,0tmwSHipWxN12fsoLcFU3B,Manuel Turizo,12192342,colombian pop,84,spotify:artist:0tmwSHipWxN12fsoLcFU3B,https://i.scdn.co/image/ab6761610000e5eba178aa24ac5e4fe87cb7e319,"<iframe style=""border-radius: 12px"" width=""100%"" height=""352"" title=""Spotify Embed: Manuel Turizo"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/artist/0tmwSHipWxN12fsoLcFU3B?utm_source=oembed""></iframe>"
68,66ihevNkSYNzRAl44dx6jJ,Carin Leon,6436737,banda,84,spotify:artist:66ihevNkSYNzRAl44dx6jJ,https://i.scdn.co/image/ab6761610000e5eba736ef203027fe2b236c326e,"<iframe style=""border-radius: 12px"" width=""100%"" height=""352"" title=""Spotify Embed: Carin Leon"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/artist/66ihevNkSYNzRAl44dx6jJ?utm_source=oembed""></iframe>"
